Group,Level,Event,n,x,perc,ci
Ethnicity,Pakistani,Attend: Performance,3414,568,16.64%,(±1.25)
Ethnicity,White British,Attend: Performance,3098,988,31.89%,(±1.64)
Ethnicity,Other,Attend: Performance,2130,460,21.6%,(±1.75)
Total,Total,Attend: Video game event,8634,1813,21%,(±0.86)
Year Group,8,Attend: Video game event,3029,781,25.78%,(±1.56)
Year Group,9,Attend: Video game event,3090,636,20.58%,(±1.43)
Year Group,10,Attend: Video game event,2515,396,15.75%,(±1.42)
Sex,Female,Attend: Video game event,4535,621,13.69%,(±1)
Sex,Male,Attend: Video game event,4099,1192,29.08%,(±1.39)
Ethnicity,Pakistani,Attend: Video game event,3407,706,20.72%,(±1.36)
Ethnicity,White British,Attend: Video game event,3102,634,20.44%,(±1.42)
Ethnicity,Other,Attend: Video game event,2125,473,22.26%,(±1.77)
Total,Total,Attend: Live music,8678,1348,15.53%,(±0.76)
Year Group,8,Attend: Live music,3044,502,16.49%,(±1.32)
Year Group,9,Attend: Live music,3108,452,14.54%,(±1.24)
Year Group,10,Attend: Live music,2526,394,15.6%,(±1.41)
Sex,Female,Attend: Live music,4560,758,16.62%,(±1.08)
Sex,Male,Attend: Live music,4118,590,14.33%,(±1.07)
Ethnicity,Pakistani,Attend: Live music,3431,289,8.42%,(±0.93)
Ethnicity,White British,Attend: Live music,3107,764,24.59%,(±1.51)
Ethnicity,Other,Attend: Live music,2140,295,13.79%,(±1.46)
Total,Total,Attend: Scouts/Guides,8631,898,10.4%,(±0.64)
Year Group,8,Attend: Scouts/Guides,3018,397,13.15%,(±1.21)
Year Group,9,Attend: Scouts/Guides,3091,278,8.99%,(±1.01)
Year Group,10,Attend: Scouts/Guides,2522,223,8.84%,(±1.11)
Sex,Female,Attend: Scouts/Guides,4537,420,9.26%,(±0.84)
Sex,Male,Attend: Scouts/Guides,4094,478,11.68%,(±0.98)
Ethnicity,Pakistani,Attend: Scouts/Guides,3408,217,6.37%,(±0.82)
Ethnicity,White British,Attend: Scouts/Guides,3105,496,15.97%,(±1.29)
Ethnicity,Other,Attend: Scouts/Guides,2118,185,8.73%,(±1.2)
Total,Total,Attend: Political gathering,8581,795,9.26%,(±0.61)
Year Group,8,Attend: Political gathering,3001,293,9.76%,(±1.06)
Year Group,9,Attend: Political gathering,3084,287,9.31%,(±1.03)
Year Group,10,Attend: Political gathering,2496,215,8.61%,(±1.1)
Sex,Female,Attend: Political gathering,4509,377,8.36%,(±0.81)
Sex,Male,Attend: Political gathering,4072,418,10.27%,(±0.93)
Ethnicity,Pakistani,Attend: Political gathering,3378,481,14.24%,(±1.18)
Ethnicity,White British,Attend: Political gathering,3088,120,3.89%,(±0.68)
Ethnicity,Other,Attend: Political gathering,2115,194,9.17%,(±1.23)
